matricula  U.E.A. Trim Ev. Cal Plan
 209223063 2122084 17O GLO. NA  56 BG03
 209223063 2255317 17O REC. NA  56 J55317
 209223063 2331074 17O GLO. NA  56 BI58
 209223063 2331074 17O REC. NA  56 J31074
 209223063 2332080 17O GLO. NA  56 BG08
 209223063 2122084 18P GLO. B   56 BH51
 209223063 2255317 18O GLO. B   56 BA51
 209223063 2331074 18O GLO. S   56 BI58
 209223063 2331076 18O GLO. B   56 BK08
 209223063 2331077 18O GLO. B   56 BJ08
 209223063 2332074 18O GLO. NA  56 BG08
 209223063 2331068 19I GLO. S   56 BK07
 209223063 2332064 19I GLO. S   56 BG58
 209223063 2332088 19I GLO. NA  56 BK58
 209223063 2332062 19O GLO. NA  56 BG08
 209223063 2332071 19O GLO. NA  56 BG08
 209223063 2331069 19O GLO. NA  56 BL07
 209223063 2331075 20P GLO. S   56 BJ08
 209223063 2332087 20P GLO. S   56 BK58
 209223063 2332062 20O GLO. S   56 BG58
 209311175 2255064 11P REC. MB  24 J5564
 209311175 2130034 12P GLO. EQ  56
 209311175 2300033 12P GLO. EQ  56
 209311175 2300034 12P GLO. EQ  56
 209311175 2300035 12P GLO. EQ  56
 209311175 2255066 12O GLO. EQ  56
 209311175 2331062 12O GLO. EQ  56
 209311175 2900056 12O GLO. EQ  56
 209311175 2112013 13I GLO. NA  56 BC01
 209311175 2132075 13I GLO. NA  56 BB04
 209311175 2132075 13I REC. NA  56 J3275
 209311175 2331063 13I GLO. S   56 BC57
 209311175 2331064 13I GLO. NA  56 BC58
 209311175 2112013 13P GLO. MB  56 BB51
 209311175 2132075 13P GLO. B   56 BB03
 209311175 2255065 13P GLO. S   56 HE03
 209311175 2331064 13P REC. MB  56 J31064
 209311175 2122081 13O GLO. B   56 BC51
 209311175 2331061 13O GLO. B   56 BB07A
 209311175 2331065 13O GLO. S   56 BD58
 209311175 2132060 14I GLO. NA  56 BC51
 209311175 2141025 14I GLO. NA  56 BC51
 209311175 2141025 14I REC. NA  56 J41025
 209311175 2331066 14I GLO. S   56 BE07
 209311175 2331067 14I GLO. NA  56 BF07
 209311175 2132060 14P GLO. S   56 BC03
 209311175 2141025 14P GLO. NA  56 BC51
 209311175 2331067 14P GLO. B   56 BF58
 209311175 2132061 14O GLO. S   56 BD51
 209311175 2331073 14O GLO. B   56 BI08
 209311175 2132064 15I GLO. NA  56 BG01
 209311175 2132064 15I REC. NA  56 J32064
 209311175 2332060 15I GLO. S   56 BG08
 209311175 2132062 15P GLO. NA  56 BE02
 209311175 2141025 15P REC. S   56 J41025
 209311175 2132062 15O GLO. S   56 BE51
 209311175 2132064 15O GLO. S   56 BG02
 209311175 2332083 15O GLO. NA  56 BJ08
 209311175 2141026 16P GLO. NA  56 BE01
 209311175 2132063 16O GLO. S   56 BF51
 209311175 2141026 16O GLO. S   56 BE51
 209311175 2132065 17I GLO. NA  56 BH02
 209311175 2292077 17I GLO. NA  56 HA51
 209311175 2292089 17I GLO. B   56 HH01
 209311175 2122082 17P GLO. NA  56 BF01
 209311175 2292077 17P GLO. NA  56 HA01
 209311175 2122082 17O GLO. NA  56 BF02
 209311175 2132065 17O GLO. NA  56 BH01
 209311175 2211078 17O GLO. S   56 HB08
 209311175 2000014 18I GLO. B   56 MDEX203
 209311175 2312056 18I GLO. S   56 BB51
 209311175 2332083 18I GLO. S   56 BJ08
 209311175 2352011 18I GLO. B   56 BL55
 209311175 2352015 18I GLO. S   56 BL55
 209311175 2293085 18P GLO. MB  56 HH02
 209311175 2321054 18P GLO. MB  56 BD06
 209311175 2331076 18P GLO. MB  56 BK58
 209311175 2000008 18O GLO. MB  56 MDEX301
 209311175 2331072 18O GLO. NA  56 BH08
 209311175 2332071 18O GLO. B   56 BG08
 209311175 2332086 18O GLO. S   56 BK58
 209311175 2331072 19I GLO. NA  56 BH08
 209311175 2332064 19I GLO. S   56 BG58
 209311175 2332066 19I GLO. S   56 BG08
 209311175 2332080 19I GLO. B   56 BG08
 209311175 2332057 19P GLO. S   56 BG08
 209311175 2332074 19P GLO. B   56 BG08
 209311175 2332087 20P GLO. MB  56 BK58
 209311434 2255064 12I GLO. NA  24 HD52
 209311434 2255064 12I REC. NA  24 J5564
 209311434 2255183 12O GLO. NA  24 HA04
 209311434 2255064 13P GLO. S   24 HD51
 209311434 2300034 13P REC. S   56 J00034
 209311434 2112013 13O GLO. AO  56
 209311434 2122081 13O GLO. AO  56
 209311434 2130034 13O GLO. NA  56 BA53
 209311434 2300033 13O GLO. S   56 BA51
 209311434 2300035 13O GLO. AO  56
 209311434 2331061 13O GLO. AO  56
 209311434 2331062 13O GLO. AO  56
 209311434 2331063 13O REC. S   56 J31063
 209311434 2331064 13O REC. B   56 J31064
 209311434 2130034 14I GLO. S   56 BA01
 209311434 2255065 14I REC. NA  56 J55065
 209311434 2331065 14I GLO. NA  56 BD07
 209311434 2132075 14P GLO. NA  56 BB03
 209311434 2141025 14P GLO. S   56 BC01
 209311434 2255065 14P GLO. NA  56 HE04
 209311434 2331065 14P GLO. S   56 BD08
 209311434 2132075 15I GLO. NA  56 BB03
