matricula  U.E.A. Trim Ev. Cal Plan
2113053751 2293089 19O GLO. MB  55 HB01
2122015705 2321056 15I GLO. MB  55 BB06A
2122015705 2300033 15I GLO. B   55 BA01
2122015705 2321067 15I GLO. B   55 BB06B
2122015705 2300034 15O GLO. B   55 BA06
2122015705 2321050 15O GLO. MB  55 BA06
2122015705 2321064 15O GLO. B   55 BD06B
2122015705 2300035 16I GLO. B   55 BA01A
2122015705 2321062 16I GLO. MB  55 BC06A
2122015705 2321052 16P GLO. MB  55 BD06B
2122015705 2352035 16P GLO. MB  55 BE02
2122015705 2321051 16O GLO. NA  55 BB06A
2122015705 2321053 16O GLO. MB  55 BB06A
2122015705 2321066 16O GLO. NA  55 BE06A
2122015705 2321051 17I GLO. B   55 BB06
2122015705 2321057 17I GLO. MB  55 BC06B
2122015705 2321066 17I REC. B   55 J21066
2122015705 2321061 17P GLO. MB  55 BD06A
2122015705 2321055 17P GLO. MB  55 BC06A
2122015705 2321063 17O GLO. B   55 BE06A
2122015705 2321065 17O GLO. MB  55 BE06B
2122015705 2321089 17O GLO. MB  55 BE06
2122015705 2321088 18I GLO. MB  55 BE06
2122015705 2321068 18I GLO. MB  55 BF06B
2122015705 2321060 18I REC. NA  55 J21060
2122015705 2321072 18P GLO. MB  55 BG06B
2122015705 2321059 18P GLO. B   55 BF06A
2122015705 2321060 18P GLO. B   55 BF06A
2122015705 2321069 18O GLO. B   55 BG06A
2122015705 2321070 18O GLO. MB  55 BG06A
2122015705 2321054 18O GLO. MB  55 BD06
2122015705 2321076 18O GLO. MB  55 BH06B
2122015705 2321091 18O REC. MB  55 J21091
2122015705 2321080 19I GLO. MB  55 BI06B
2122015705 2321073 19I GLO. MB  55 BH06
2122015705 2321074 19I GLO. MB  55 BH06
2122015705 2321071 19I GLO. MB  55 BG06
2122015705 2321079 19P GLO. NA  55 BI06A
2122015705 2321077 19P GLO. MB  55 BI06A
2122015705 2321082 19P GLO. MB  55 BI06A
2122015705 2255064 19P GLO. MB  55 HD52
2122015705 2321081 19P GLO. MB  55 BI06B
2122015705 2321083 19O GLO. NA  55 BJ06A
2122015705 2331086 19O GLO. NA  55 BJ07
2122015705 2321093 19O GLO. NA  55 BH06
2122015705 2321079 20I GLO. MB  55 BI06A
2122015705 2255065 20I GLO. MB  55 HE14
2122015705 2321058 20I GLO. MB  55 BH06
2122015705 2255066 20P GLO. MB  55 HF12
2122015705 2321085 20P GLO. MB  55 BI06A
2122015705 2321083 20P GLO. MB  55 BJ06A
2122015705 2321084 20P GLO. MB  55 BI06A
2122015705 2321086 20O GLO. MB  55 BK06H
2122015705 2211093 20O GLO. B   55 HF02
2122015705 2212013 20O GLO. MB  55 HH02
2122015705 2321097 20O GLO. MB  55 BE06
2122016097 2300034 15O GLO. NA  55 BA06
2122016097 2321050 15O GLO. MB  55 BA06
2122016097 2321064 15O GLO. B   55 BD06B
2122016097 2300035 16I GLO. B   55 BA01A
2122016097 2300033 16I GLO. B   55 BA01
2122016097 2352035 16P GLO. B   55 BE02
2122016097 2321067 16O GLO. MB  55 BB06A
2122016097 2321051 16O GLO. NA  55 BB06A
2122016097 2321053 16O GLO. MB  55 BB06A
2122016097 2321066 16O GLO. NA  55 BE06A
2122016097 2321066 17I GLO. S   55 BE06
2122016097 2321057 17I GLO. S   55 BC06B
2122016097 2321062 17I GLO. NA  55 BC06B
2122016097 2300034 17P GLO. S   55 BA06
2122016097 2321061 17P GLO. B   55 BD06B
2122016097 2321065 17O GLO. B   55 BE06B
2122016097 2321056 17O GLO. S   55 BB06A
2122016097 2321052 17O GLO. S   55 BD06A
2122016097 2321063 18I GLO. B   55 BE06
2122016097 2321068 18I GLO. MB  55 BF06B
2122016097 2321051 18I GLO. NA  55 BB06
2122016097 2321072 18P GLO. MB  55 BG06B
2122016097 2321054 18P GLO. MB  55 BD06
2122016097 2321090 18O GLO. S   55 BG06A
2122016097 2321091 18O GLO. MB  55 BJ06
2122016097 2321076 18O GLO. MB  55 BH06B
2122016097 2321062 19I GLO. B   55 BC06A
2122016097 2321080 19I GLO. MB  55 BI06B
2122016097 2255064 19I GLO. S   55 HD16
2122016097 2321060 19I GLO. S   55 BF06B
2122016097 2321051 19I REC. NA  55 J21051
2122016097 2321088 19P GLO. B   55 BF06
2122016097 2255065 19P GLO. S   55 HE51
2122016097 2321071 19P GLO. S   55 BG06A
2122016097 2321081 19P GLO. MB  55 BI06B
2122016097 2321069 19P GLO. B   55 BG06A
2122016097 2211093 19O GLO. B   55 HF05
2122016097 2321074 19O GLO. B   55 BH06A
2122016097 2321070 19O GLO. MB  55 BG06B
2122016097 2321073 19O GLO. NA  55 BH06
2122016097 2321051 19O REC. B   55 J21051
2122016097 2321079 20I GLO. MB  55 BI06B
2122016097 2321077 20I GLO. B   55 BI06A
2122016097 2321055 20I GLO. B   55 BC06B
2122016097 2321073 20I GLO. S   55 BH06
2122016097 2321058 20I GLO. B   55 BH06
2122016097 2321082 20I GLO. MB  55 BI06A
2122016097 2321092 20I REC. MB  55 J23092
2122016097 2211087 20P GLO. B   55 HD57
2122016097 2321059 20P GLO. S   55 BF06A
